[2017/2/28 15:18:02] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id":0,"id_product":3261737366294784,"id_master":3261648784314624,"rq_begin":"\/Date(1486455639133)\/","rq_end":"\/Date(1549527639143)\/","sl":3,"rq_create":"\/Date(1488266259077)\/","mc":"云POS连锁版","bm":"yunposlsb","caption":null,"flag_stop":0,"IDisNull":true}]}

[2017/2/28 15:18:06] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id":0,"id_product":3261737366294784,"id_master":3261648784314624,"rq_begin":"\/Date(1486455639133)\/","rq_end":"\/Date(1549527639143)\/","sl":3,"rq_create":"\/Date(1488266262945)\/","mc":"云POS连锁版","bm":"yunposlsb","caption":null,"flag_stop":0,"IDisNull":true}]}

[2017/3/3 17:38:03] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-03","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/3 17:47:39] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-03","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/3 17:49:20] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-03","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/3 17:56:45] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-03","mc":"云POS连锁版","bm":"yunposlsb"}]}
